,Name,top_tackles_won
254,Zanka ,7
255,Adam Armstrong ,7
256,M. Damsgaard ,7
257,H. Wilson ,7
258,D. Ings ,7
259,D. Caleta-Car ,7
260,M. Lemina ,7
261,H. Traore ,7
262,J. Matip ,6
263,R. Sterling ,6
264,L. Dendoncker ,6
265,C. Pulisic ,6
266,B. Mbeumo ,6
267,D. Amartey ,6
268,Hwang Hee-Chan ,6
269,Pedro Neto ,6
270,Kostas Tsimikas ,6
271,D. Sánchez ,6
272,H. Toffolo ,6
273,S. Bajcetic ,6
274,Aleksandar Mitrovic ,6
275,Andreas Pereira ,6
276,Gonçalo Guedes ,6
277,L. Milivojevic ,6
278,T. Lamptey ,6
279,K. Walker ,6
280,J. Álvarez ,6
281,M. Antonio ,6
282,Willian ,6
283,Juan Larios ,6
284,A. Lokonga ,6
285,Adama Traoré ,6
286,V. Lindelöf ,6
287,O. Skipp ,6
288,F. Downes ,6
289,W. Boly ,6
290,M. Mudryk ,6
291,M. Sabitzer ,6
292,D. Welbeck ,5
293,Lucas Moura ,5
294,V. van Dijk ,5
295,K. Tierney ,5
296,L. Bailey ,5
297,E. Mwepu ,5
298,S. Baptiste ,5
299,Wesley Fofana ,5
300,D. James ,5
301,P. Daka ,5
302,O. Adarabioyo ,5
303,N. Kebano ,5
304,J. Murphy ,5
305,Emerson ,5
306,E. Dennis ,5
307,N. Maupay ,5
308,G. Scamacca ,5
309,J. Garner ,5
310,P. Sarr ,5
311,B. Badiashile ,5
312,C. Richards ,5
313,H. Souttar ,5
314,H. Maguire ,4
315,D. Solanke ,4
316,M. Holgate ,4
317,A. Lallana ,4
318,J. Sancho ,4
319,S. Cook ,4
320,J. Evans ,4
321,Rodrigo ,4
322,T. Cairney ,4
323,C. Drameh ,4
324,C. Wood ,4
325,J. Stacey ,4
326,Boubacar Traoré ,4
327,P. Bamford ,4
328,Darwin Núñez ,4
329,Y. Mina ,4
330,D. Zakaria ,4
331,A. Oxlade-Chamberlain ,4
332,C. Chukwuemeka ,4
333,Álex Moreno ,4
334,N. Keita ,4
335,C. Gakpo ,4
336,N. Mendy ,4
337,Danilo ,4
338,D. Ouattara ,4
339,W. McKennie ,4
340,João Félix ,4
341,P. Sarabia ,4
342,J. Vardy ,3
343,N. Kanté ,3
344,B. Pearson ,3
345,B. Godfrey ,3
346,E. Anderson ,3
347,D. Undav ,3
348,Antony ,3
349,J. Lingard ,3
350,J. Sarmiento ,3
351,A. Saint-Maximin ,3
352,Lewis Hall ,3
353,W. Weghorst ,3
354,A. Ogbonna ,3
355,R. Jiménez ,3
356,N. Madueke ,3
357,G. Rutter ,3
358,K. Phillips ,3
359,Tetê ,3
360,P. Jansson ,2
361,Rúben Vinagre ,2
362,C. Chambers ,2
363,K. Zouma ,2
364,T. Mings ,2
365,E. Haaland ,2
366,S. Gómez ,2
