,Name,top_successful_dribbles
251,C. Nørgaard ,4
252,K. Lewis-Potter ,4
253,C. Eriksen ,4
254,A. Forshaw ,4
255,J. Vardy ,4
256,J. Veltman ,4
257,K. Mbabu ,4
258,S. Bajcetic ,4
259,J. Stones ,4
260,Casemiro ,4
261,L. Thomas ,4
262,J. Ward ,4
263,E. Konsa Ngoyo ,4
264,Cristiano Ronaldo ,4
265,S. Canós ,4
266,Fabinho ,4
267,T. Soucek ,4
268,N. Maupay ,4
269,J. Enciso ,4
270,B. Davies ,4
271,Emerson ,4
272,M. Solomon ,4
273,V. Kristiansen ,4
274,Felipe ,4
275,H. Toffolo ,3
276,M. Holgate ,3
277,Wesley Fofana ,3
278,J. Andersen ,3
279,B. Chilwell ,3
280,A. Bella Kotchap ,3
281,J. Henderson ,3
282,D. Amartey ,3
283,R. Jiménez ,3
284,M. Damsgaard ,3
285,R. Yates ,3
286,T. Malacia ,3
287,Fábio Vieira ,3
288,Juan Larios ,3
289,J. Stacey ,3
290,M. Akanji ,3
291,M. Senesi ,3
292,C. Campbell ,3
293,A. Guehi ,3
294,R. Fredericks ,3
295,P. Aubameyang ,3
296,W. Faes ,3
297,C. Jones ,3
298,Diego Costa ,3
299,F. Schär ,3
300,Boubacar Traoré ,3
301,N. Aké ,3
302,R. Lewis ,3
303,N. Keita ,3
304,E. Ferguson ,3
305,Danilo ,3
306,I. Konaté ,3
307,M. Lemina ,3
308,J. Firpo ,3
309,E. Fernández ,3
310,W. McKennie ,3
311,L. Digne ,3
312,P. Bamford ,2
313,D. Llorente ,2
314,L. Dendoncker ,2
315,S. Surridge ,2
316,M. Ebiowei ,2
317,D. James ,2
318,E. Smith Rowe ,2
319,P. Jansson ,2
320,Lucas Moura ,2
321,Fábio Carvalho ,2
322,M. Klich ,2
323,V. van Dijk ,2
324,J. Mateta ,2
325,Thiago Silva ,2
326,K. Moore ,2
327,E. Anderson ,2
328,J. Worrall ,2
329,R. Fraser ,2
330,A. Lokonga ,2
331,I. Diop ,2
332,B. Mee ,2
333,O. Adarabioyo ,2
334,E. Pinnock ,2
335,A. Cresswell ,2
336,F. Onyeka ,2
337,N. Mendy ,2
338,S. Cook ,2
339,R. Nelson ,2
340,J. Rothwell ,2
341,T. Chalobah ,2
342,T. Mings ,2
343,D. van de Beek ,2
344,R. Varane ,2
345,B. Gil ,2
346,M. Albrighton ,2
347,Gustavo Scarpa ,2
348,José Sá ,2
349,L. Kurzawa ,2
350,M. Mudryk ,2
351,C. Chukwuemeka ,2
352,N. Aguerd ,2
353,M. Rasmussen ,2
354,W. Hughes ,2
355,K. Ajer ,2
356,T. Davies ,2
357,Carlos Vinícius ,2
358,W. Boly ,2
359,A. Danjuma Groeneveld ,2
360,P. Porro ,2
361,C. Alcaraz ,2
362,J. Stephens ,2
363,E. Dier ,2
364,O. Skipp ,2
365,S. Lukic ,2
366,O. Romeu ,1
367,L. Kelly ,1
368,Rúben Vinagre ,1
369,J. Gelhardt ,1
370,C. Wood ,1
371,S. Greenwood ,1
372,C. Drameh ,1
373,C. Lenglet ,1
374,S. Rondón ,1
375,J. Tomkins ,1
376,A. Ramsdale ,1
377,C. Archer ,1
378,A. Webster ,1
379,T. Tomiyasu ,1
380,L. Dunk ,1
381,D. Sánchez ,1
382,Gabriel Magalhães ,1
383,A. Laporte ,1
384,J. Tanganga ,1
385,B. Godfrey ,1
386,I. Price ,1
387,J. Garner ,1
388,E. Mwepu ,1
389,A. Ogbonna ,1
390,K. Tierney ,1
391,J. Stanislas ,1
392,P. Sarabia ,1
393,J. Bree ,1
394,A. Semenyo ,1
395,J. Durán ,1
396,L. Cooper ,1
397,P. Sarr ,1
398,F. Downes ,1
399,João Gomes ,1
400,N. Ahamada ,1
401,D. Raya Martin ,1
