,Name,top_fouls_won
253,Gustavo Scarpa ,7
254,Tetê ,7
255,K. Walker ,6
256,C. Eriksen ,6
257,K. Koulibaly ,6
258,S. McTominay ,6
259,C. Mepham ,6
260,A. Broja ,6
261,T. Ream ,6
262,Ryan Sessegnon ,6
263,Fábio Carvalho ,6
264,J. Henderson ,6
265,D. Rice ,6
266,P. Daka ,6
267,J. Sancho ,6
268,C. Dawson ,6
269,Emerson ,6
270,H. Bueno ,6
271,M. Kovacic ,6
272,Lyanco ,6
273,T. Chalobah ,6
274,Rúben Dias ,5
275,P. Fornals ,5
276,T. Davies ,5
277,D. Ward ,5
278,Cristiano Ronaldo ,5
279,C. Romero ,5
280,C. Azpilicueta ,5
281,Roberto Firmino ,5
282,S. Mara ,5
283,W. Hughes ,5
284,J. Mateta ,5
285,A. Cresswell ,5
286,W. Boly ,5
287,Kepa A. ,5
288,A. Maitland-Niles ,5
289,Diego Costa ,5
290,C. Jones ,5
291,O. Skipp ,5
292,A. Garnacho Ferreyra ,5
293,D. Ouattara ,5
294,W. Weghorst ,5
295,A. Semenyo ,5
296,E. Onuachu ,5
297,J. Matip ,4
298,H. Toffolo ,4
299,S. McKenna ,4
300,M. Holgate ,4
301,Rodrigo ,4
302,J. Evans ,4
303,A. Webster ,4
304,R. Kristensen ,4
305,J. Gomez ,4
306,K. Lewis-Potter ,4
307,K. Zouma ,4
308,D. Sánchez ,4
309,E. Martínez ,4
310,A. Isak ,4
311,José Sá ,4
312,K. Tierney ,4
313,M. Doherty ,4
314,M. Damsgaard ,4
315,J. Murphy ,4
316,L. Fabianski ,4
317,B. Johnson ,4
318,E. Pinnock ,4
319,I. Diop ,4
320,A. Oxlade-Chamberlain ,4
321,I. Konaté ,4
322,J. Sarmiento ,4
323,Alisson ,4
324,Álex Moreno ,4
325,N. Aguerd ,4
326,M. Mudryk ,4
327,N. Madueke ,4
328,P. Sarabia ,4
329,Felipe ,4
330,V. Kristiansen ,4
331,Y. Mina ,3
332,Diogo Dalot ,3
333,Rúben Vinagre ,3
334,M. Klich ,3
335,O. Adarabioyo ,3
336,D. Amartey ,3
337,M. Salisu ,3
338,A. Forshaw ,3
339,A. Martial ,3
340,T. Tomiyasu ,3
341,I. Meslier ,3
342,A. Ramsdale ,3
343,C. Palmer ,3
344,V. Guaita ,3
